State,female_school_attendance,health_insurance,anc_first_trimester,anc_4plus_visits,ifa_100days,postnatal_care_2days,oop_expenditure_delivery,institutional_births,institutional_births_public,skilled_birth_attendance
Andaman and Nicobar Island,81.8,2.0,72.23,78.93,79.1,88.57,2547.33,98.33,91.83,97.93
Andhra Pradesh,64.67,70.83,81.68,68.72,69.9,90.55,3126.33,96.85,49.86,96.52
Assam,77.83,61.01,64.1,52.32,48.09,66.1,5405.24,85.14,74.98,87.35
Bihar,60.78,14.1,55.04,25.94,18.45,60.54,2926.53,77.84,58.21,80.37
Dadra & Nagar Haveli and Daman & Diu,77.47,51.9,76.8,84.03,61.13,91.57,1004.0,96.47,66.73,97.4
Goa,88.85,66.25,68.65,93.65,88.5,96.3,3796.0,99.8,55.3,99.3
Gujarat,70.55,40.63,80.15,77.58,58.22,88.97,1683.09,93.15,45.17,91.42
Himachal Pradesh,78.67,32.8,73.82,71.78,68.09,85.65,3889.25,87.81,71.32,86.92
Jammu and Kashmir,68.52,11.26,85.58,79.61,27.82,82.9,4990.45,91.68,86.85,94.39
Karnataka,71.61,29.17,71.54,72.58,44.27,88.2,4854.33,97.42,67.25,94.53
Kerala,95.03,52.56,93.14,78.04,78.31,93.0,6847.57,99.7,36.41,99.89
Ladakh,67.95,14.9,85.95,78.8,14.55,79.55,3806.0,95.05,94.7,97.0
Maharashtra,77.43,21.01,72.23,71.09,48.93,86.11,2924.78,94.79,61.26,93.64
Manipur,82.24,14.96,76.09,70.64,44.42,64.29,13112.33,71.24,52.58,79.79
Meghalaya,85.03,68.29,54.22,46.11,41.79,48.5,3216.73,62.84,56.99,68.23
Mizoram,91.8,50.75,69.82,54.49,63.64,67.53,6267.12,83.36,75.16,85.88
Nagaland,83.77,21.1,47.78,18.35,9.15,41.15,5804.64,43.28,35.04,53.63
Sikkim,81.72,23.78,68.38,64.53,60.55,70.95,8063.25,96.45,84.45,97.85
Telangana,58.19,62.29,88.23,70.0,56.97,87.46,3925.68,96.7,49.37,93.33
Tripura,81.1,33.99,60.08,49.78,26.88,68.41,6943.38,88.22,78.53,87.8
West Bengal,75.88,29.3,72.96,74.95,62.43,68.21,2705.0,92.24,72.61,94.28
