Rank,State,District,institutional_births,female_literacy,child_marriage,health_insurance,clean_fuel
1,Nagaland,Mon ,21.4,78.22,2.98,39.26,13.0
2,Nagaland,Phek ,32.2,85.82,6.53,24.93,24.19
3,Nagaland,Kiphire ,34.77,73.69,22.54,8.76,16.44
4,Nagaland,Tuensang ,34.84,77.77,10.43,21.99,19.68
5,Nagaland,Zunheboto ,34.98,87.13,3.99,18.06,18.58
6,Nagaland,Longleng ,38.68,82.0,11.0,38.27,11.81
7,Meghalaya,South West Khasi Hills ,41.69,85.93,21.58,72.34,11.6
8,Meghalaya,West Khasi Hills ,41.74,87.37,30.33,60.12,8.61
9,Meghalaya,West Jaintia Hills ,42.17,80.02,19.92,65.6,20.72
10,Nagaland,Peren ,43.47,77.59,9.05,5.4,31.37
11,Nagaland,Wokha ,43.59,91.63,3.23,20.6,41.23
12,Manipur,Ukhrul ,44.58,86.89,11.14,17.03,22.86
13,Manipur,Senapati ,45.75,81.89,15.46,15.35,49.95
14,Meghalaya,East Jantia Hills ,48.4,76.01,25.28,74.1,26.53
15,Nagaland,Mokokchung ,51.48,94.04,5.96,22.3,46.2
16,Mizoram,Lawngtlai ,53.68,75.99,15.97,31.29,56.26
17,Bihar,Kishanganj ,54.63,48.03,36.56,8.05,15.25
18,Manipur,Chandel ,55.52,80.17,22.34,16.11,52.0
19,Mizoram,Chandel ,55.52,80.17,22.34,16.11,52.0
20,Meghalaya,Ribhoi ,56.94,89.46,20.26,66.84,21.04
21,Manipur,Tamenglong ,57.69,76.79,19.92,16.77,30.54
22,Jharkhand,Dumka ,60.27,55.62,43.08,45.37,18.09
23,Jharkhand,Deoghar ,61.29,54.22,49.16,53.8,23.5
24,Bihar,Purba Champaran ,61.51,50.15,49.24,19.38,44.17
25,Meghalaya,North Garo Hills ,61.52,86.14,13.19,60.84,24.44
26,Uttar Pradesh,Shahjahanpur ,63.25,59.47,20.93,14.24,40.4
27,Meghalaya,East Khasi Hills ,63.41,93.74,14.56,47.09,47.38
28,Chhattisgarh,Bastar ,63.54,54.62,17.29,69.28,31.56
29,Arunachal Pradesh,Namsai ,63.6,67.14,26.71,30.86,28.7
30,Chhattisgarh,Bijapur ,63.62,46.29,18.27,73.53,18.48
